"","TreeID","X","Y","Radius","Error","H","h_radius","DBH","BasalA"
"1",1,10.7102482237766,5.81468986008328,0.396330905600606,0.00071574194178496,29.484,1.3,31.2070955069917,5.31155684564457
"2",3,10.2278648131166,-1.41383902045458,0.242468607617435,0.00060889999224403,20.397,1.3,19.0919781637968,1.9880027991484
"3",4,9.38417508500858,-9.43777878604926,0.150368799610717,0.00039786276517003,12.777,1.3,11.8400392813478,0.764577335622769
"4",5,4.60991854114675,-7.78472476127658,0.259894359303338,0.000316057603346912,18.611,1.3,20.4640818515449,2.28401873542977
"5",6,3.72986986103759,-10.0219955799185,0.210091624045132,0.000425626343970101,19.257,1.3,16.5426144773137,1.49253124328539
"6",7,-1.36146858111018,-4.73492365679492,0.229809084056576,0.00013913237060286,16.669,1.3,18.0951672786148,1.7858309199991
"7",8,-1.39256415077386,3.12053565491525,0.160335599859931,9.83506054288834e-05,13.525,1.3,12.624825132971,0.869292387366174
"8",9,-1.46767358081659,-5.23060000657955,0.624465409045935,0.00163034326892562,13.735,1.3,49.1704063082769,13.1862931834657
"9",10,-6.74124013556973,2.58466668616211,0.243613963434027,0.00019623592527019,20.508,1.3,19.1821634807953,2.00682872871478
"10",11,-13.2372101711085,2.80439164502038,0.542611618181453,0.00142264099006235,13.117,1.3,42.7252388156076,9.95598265771374
"11",12,-6.68342026123485,-12.857167639449,0.213480687828805,0.000459958490945851,15.413,1.3,16.8094693596401,1.54107275087272
"12",13,-13.9601161839494,2.46984195606903,0.117594203134057,0.00164280941112189,14.514,1.3,9.25936755477561,0.467603530503709
"13",14,-5.10264212791227,7.84940063337798,0.238559948971262,0.000179100933840053,17.193,1.3,18.7842103819972,1.92442513646816
"14",15,-4.02793268561568,-0.963618917176201,0.197708493478328,9.8793358378927e-05,15.77,1.3,15.5675667764835,1.32177218414585
"15",16,-11.0640901137516,7.87443537858955,0.200644607171731,0.000539372868871785,18.593,1.3,15.7987563687021,1.36132223305813
"16",17,-11.7099684165437,8.8130835988898,0.151037078168705,0.000948663391500001,14.548,1.3,11.8926595350039,0.771388403347835
