"","TreeID","X","Y","Radius","Error","H","h_radius","DBH","BasalA"
"1",1,10.7133200176523,5.81776365891499,0.393708199169565,0.000839058874180459,29.484,1.3,31.0005836026116,5.24149134591349
"2",3,10.2344569349013,-1.41980784954788,0.242831253053333,0.000592290972455481,20.397,1.3,19.1205328654194,1.99395391407206
"3",4,9.38758975164032,-9.44238977341327,0.156758042416718,0.000362576357508246,12.777,1.3,12.3431282598924,0.830932254319804
"4",5,4.61929723955855,-7.78790455196004,0.26011591344026,0.000302418453553968,18.611,1.3,20.4815270242861,2.28791454519075
"5",6,3.72956305958577,-10.0217437368458,0.209800943359668,0.000476377927114277,19.257,1.3,16.5197262801403,1.48840399764611
"6",7,-1.35620067221216,-4.72414230131421,0.221211169797283,0.000150304621514348,16.669,1.3,17.4181675098381,1.65470301897185
"7",8,-1.38304512372487,3.10396786669761,0.147950752888611,0.000117775307236508,13.525,1.3,11.6496422824492,0.740185057595442
"8",9,-1.48462975439051,-5.22860297218751,0.606513313891001,0.00148741595190801,13.735,1.3,47.7568583357774,12.4390333437366
"9",10,-6.73790288490003,2.58129657558551,0.245159563557325,0.000185874911524558,20.508,1.3,19.3038640345038,2.03237401497786
"10",11,-13.3437673880466,2.93659703944849,0.640145327231301,0.00168886561367057,13.117,1.3,50.4050430661926,13.8568052709168
"11",12,-6.67496365295147,-12.8402972450227,0.196807453438236,0.000406201608923314,15.413,1.3,15.4966188837267,1.30975190349705
"12",13,-13.9620700523903,2.46673708030189,0.122023345219192,0.00158339679045333,14.514,1.3,9.6081182025592,0.503491111640782
"13",14,-5.11711782573197,7.862644312051,0.259484101493435,0.000141064259722284,17.193,1.3,20.4317781515931,2.27681352370949
"14",15,-4.03590200071296,-0.964601360053974,0.205057624502699,9.00749795249247e-05,15.77,1.3,16.1462373533425,1.42186314857675
"15",16,-11.0733455551853,7.88061256363253,0.203028534889564,0.00053289212315986,18.593,1.3,15.9864668372042,1.39386308304457
"16",17,-11.7209418522951,8.81645684188807,0.158003135997038,0.00078180208523713,14.548,1.3,12.4411669284067,0.844184488783786
