"","TreeID","X","Y","Radius","Error","H","h_radius","DBH","BasalA"
"1",1,9.77855806279408,-8.42775705939452,0.284371867525728,0.000369144973802496,31.9,1.3,22.3914408489758,2.73450810344102
"2",2,9.05469651558592,8.65228767382015,0.13541987051388,0.000734350702846369,13.667,1.3,10.6629606042629,0.620112867137331
"3",3,8.73606268471399,-11.2256109233022,0.199158729793609,0.000607859037639629,29.788,1.3,15.6817583839487,1.34123429595243
"4",4,7.4757717356477,-5.91364733620416,0.072248556535084,0.000524247826901688,30.903,1.3,5.68885134157251,0.176507963364833
"5",5,2.78408632523828,11.4999266882328,0.146585631837902,0.0017799232046466,34.743,1.3,11.5421526509164,0.726588903754231
"6",6,2.53042495412505,-3.53552228748407,0.165941082192123,0.000179070203071999,17.256,1.3,13.0662008118078,0.931137442331567
"7",7,1.84161781081794,-11.3583377006579,0.344019401553185,0.000521069715877151,26.182,1.3,27.0880876782978,4.00195155064223
"8",8,1.93004522460944,0.446683521823181,0.157712974059459,0.000112906331887599,18.073,1.3,12.4183195774418,0.841086761789244
"9",9,-4.98367180976183,8.63649774296426,0.158251665958791,0.000871023480289183,24.041,1.3,12.4607361775952,0.84684228596193
"10",10,-9.32723808335929,1.10628420137135,0.264736722065442,0.000493724248971491,10.751,1.3,20.8453694954329,2.36992350795373
"11",11,-0.68851437304576,8.72200924730313,0.119112306196195,0.000236208507154252,21.492,1.3,9.37890298988839,0.479754681336044
"12",13,-7.84812359261052,8.31299331065279,0.298941562839874,0.000296117204991228,24.503,1.3,23.5386586580117,3.02188933403589
"13",14,-2.8263405946664,1.51897252656133,0.187496650190331,0.000141987705654858,18.363,1.3,14.7634862359866,1.18875670793227
"14",15,-3.99208978654667,14.2104854366036,0.111186132779205,0.000647194388082381,25.149,1.3,8.75479609503464,0.418029763746366
"15",16,-1.65286276648573,7.38566940762124,0.160515852841516,0.000147189278406034,23.176,1.3,12.639018252741,0.871248043172078
"16",17,-13.1796531093394,5.59125024452894,0.199323919347653,0.000563658428303665,24.642,1.3,15.6947654094342,1.34346015649661
"17",18,-0.112349388594641,6.04938215740856,0.116488354104372,0.000200672080002542,21.568,1.3,9.17229300217823,0.458850249937723
