"","TreeID","X","Y","Radius","Error","H","h_radius","DBH","BasalA"
"1",3,5.42667176520205,-1.63756078172452,0.334522645629081,0.000236812939015417,33.884,1.3,26.3403131168338,3.7840511666364
"2",5,4.86664419201487,0.442863551072203,0.235278322204656,0.000322335259924201,34.502,1.3,18.5258150903946,1.8718445682601
"3",6,4.00168382581965,13.8516802115473,0.2298843115065,0.0012099040173678,33.745,1.3,18.1010906880218,1.78700028625953
"4",8,-4.98931777726016,-4.05127052931728,0.246663555655348,0.000270871535852675,25.703,1.3,19.4222883723021,2.05738670775436
"5",9,-2.09370891496384,-5.00953474108269,0.3485059324805,0.000395196893423695,25.906,1.3,27.4413571235145,4.10701515257555
"6",10,-10.2454983895784,-10.9105353629814,0.243480927035904,0.000766331226215318,24.673,1.3,19.1716881948071,2.00463748841498
"7",11,0.487030801731689,2.5147164683338,0.112072672187557,0.000149868613985878,27.973,1.3,8.8246022080482,0.424722636926597
"8",12,-4.52409412982138,-2.18483304770327,0.181056424122602,0.000225082366587297,23.81,1.3,14.2563828354137,1.10849523875303
"9",15,-6.59486976804742,-11.511403900329,0.239127697815855,0.00212534250056779,28.897,1.3,18.8289149260204,1.93359591538683
"10",17,-6.4029234544913,-11.4584774702843,0.105830207888985,0.00219359181748995,28.691,1.3,8.33307056917869,0.378726115114914
"11",18,-2.53748431552437,7.5268732414828,0.141318120191276,0.000236812006862074,15.727,1.3,11.1273887838611,0.675307632376813
"12",19,2.13685470345725,8.72626404044743,0.0467352774445554,0.00102449239710159,33.451,1.3,3.67993574598429,0.0738576703738009
"13",20,-8.63403444899952,-1.20859068561742,0.227457283575522,0.000422113220880775,27.624,1.3,17.9099865087366,1.74946658171701
"14",21,-10.1699940709032,3.05572815070448,0.217800677719018,0.000820047852878836,19.975,1.3,17.1496253635955,1.60407403170909
"15",22,-11.4303709263366,8.11004191843685,0.133961780231962,0.00128449058490878,13.343,1.3,10.5481505754647,0.606831022988838
"16",33,3.79573175433111,-13.1653070995232,0.345224710173819,0.00102506205854627,24.696,1.3,27.1829936790865,4.03004320277849
