"","TreeID","X","Y","Radius","Error","H","h_radius","DBH","BasalA"
"1",2,12.6390905097678,4.65833146760723,0.134739758621985,0.000972096503816484,17.552,1.3,10.6094085938951,0.613899789584421
"2",7,8.82744836835412,10.5031376785183,0.0673426437553204,0.00193488596770425,15.745,1.3,5.30255976929393,0.153350882143221
"3",8,7.64616937456139,11.354474836409,0.0868185254204147,0.00204269616905449,17.742,1.3,6.83609069160345,0.254877069437635
"4",11,5.78380015773205,-2.56809928395353,0.104276680969454,0.000993939187963624,36.67,1.3,8.21074585953478,0.367688759646058
"5",13,5.87550634500274,7.81983100080797,0.0968966224743519,0.00074564221315057,15.137,1.3,7.62964005363047,0.317485015675786
"6",15,-10.877774495459,1.34049666618631,0.182440513711614,0.000946500082120692,32.582,1.3,14.3653660496525,1.12550784745274
"7",16,-2.91189787819657,10.6322402991072,0.124172027179331,0.00134457897624402,32.042,1.3,9.77730542010049,0.521378954769811
"8",18,-2.13910494528903,-12.7819881397001,0.348074489314274,0.000520964959199505,37.509,1.3,27.4073852886059,4.09685264662504
"9",19,2.67053079450559,-7.55500887228231,0.165268827013575,0.00032143976767511,28.22,1.3,13.0132674390489,0.923608335966906
"10",21,-2.16786412160771,14.4826537804751,0.299718188913564,0.000582043891102977,30.462,1.3,23.5998101950541,3.03761097893702
"11",24,-4.0152850418814,-9.43264788099692,0.252684045369085,0.00048581715414435,29.471,1.3,19.8963417323618,2.15904451576084
"12",25,3.37325858471598,0.19455946428752,0.417851030513514,0.000179757456069018,37.543,1.3,32.9015901426341,5.90403481336629
"13",27,3.7813872359731,-0.983748848611134,0.076002376720756,0.000431335819490469,40.411,1.3,5.98442714299233,0.195326110325238
"14",29,-7.75677832430751,3.20616449764596,0.334576371076569,0.000554176466873922,30.149,1.3,26.344543458569,3.78526672660052
"15",30,3.18634017522509,-3.95511634751729,0.151523800030974,0.000400442022287081,33.224,1.3,11.9309840144389,0.776368062080954
"16",31,2.15973013044027,14.1610037611733,0.171086366426618,0.00064029584963216,32.704,1.3,13.4713404924319,0.989775637972192
"17",39,-13.4466481357041,-4.84214939094997,0.0667153048777179,0.00300603301546773,16.46,1.3,5.25316310607151,0.150507071163976
