"","TreeID","X","Y","Radius","Error","H","h_radius","DBH","BasalA"
"1",3,8.12012728631403,2.51668863815911,0.173606090276319,0.000639352887376372,11.837,1.3,13.6697435483574,1.01914474084904
"2",6,5.29941523945875,7.98662319063461,0.214999290061061,0.000374872309516919,16.73,1.3,16.9290440994079,1.56307568108883
"3",7,2.48004038964027,-3.44424817672279,0.295504857709213,0.000287006800282483,14.007,1.3,23.2680524960234,2.95280796398731
"4",8,0.942179326803622,-10.7764769048082,0.218648637606227,0.000284308090358977,17.411,1.3,17.2163937251143,1.61658857714654
"5",10,0.230825133402229,-11.9372977373216,0.24104806673568,0.000534142389094945,16.411,1.3,18.9801247747674,1.96477697428414
"6",11,-6.49773916244807,-1.57494090470727,0.307624904677544,0.000275673714860699,17.353,1.3,24.2223849943098,3.19999234046773
"7",12,-10.4090853776199,5.80107201897589,0.205863053558246,0.000409248175531979,16.746,1.3,16.2096568371763,1.43305472444475
"8",13,-0.329255271729375,2.97092592871106,0.203364323545036,0.000128830821085422,18.587,1.3,16.0129068359361,1.39847751282456
"9",15,-10.5222486637445,-8.50137907660849,0.177008425449029,0.000687061519376585,14.047,1.3,13.9376434198565,1.05948260895632
"10",16,-10.6774543034355,-7.43318125088431,0.228086103089246,0.000533935092097989,11.006,1.3,17.9594997572473,1.7591529663677
